Zone,State,Distributor,Dealer,MT,SF_Id
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,GSF PIPES,3,0015g00001ZV328AAD
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,HOME WORLD,1,001J100000EpGnRIAV
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,Home World,2,0015g00001fvdP8AAI
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,JAI JAGANNATH STEELS,2,001J100000EpBhdIAF
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,M/S BANSAL STEEL & MARBLE,24,001J1000007ocJgIAI
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,M/S CHOUDHARY STEEL,4,001J100000EpC5ZIAV
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,M/S. MAHA BINAYAK TRADERS,87,001J100000RyyqrIAB
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,"M/s, OMMSHA TILES",3,0015g00001UBHkAAAX
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,"MAHAPATRA HARDWARE,FABRICATION AND SPARES",2,001J100000TuCy9IAF
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,Maa Bhagwati Traders,50,0015g00001YOGwKAAX
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,ORISSA HARDWARE STORE,15,001J100000MDyeqIAD
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,ROURKELA STEEL CORPORATION,2,001J100000DorKGIAZ
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,SHREE PRAKASH DISTRIBUTORS,11,001fw00000R4ojSAAR
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,SHREE RAM AGENCY,3,0015g00001YOHRQAA5
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,SHREE SAI TRADERS,3,001J100000VmuFbIAJ
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,SRI BALAJI STEELS,3,0015g00001cdjD8AAI
North,Delhi,MAHENDRA STEELS,BRIGHT INFRA SOLUTIONS,6,001J100000Dp2AAIAZ
North,Delhi,MAHENDRA STEELS,BRIJ LAL STEELCON CO,61,001J1000007oMDhIAM
North,Delhi,MAHENDRA STEELS,Bharat timber & iron store rawta mor,4,0015g00001f9BzfAAE
North,Delhi,MAHENDRA STEELS,CAPITAL STEEL,2,0015g00001VBlFwAAL
North,Delhi,MAHENDRA STEELS,DADA HARIDASS CONSTRUCTION COMPANY,5,001J100000VngwnIAB
North,Delhi,MAHENDRA STEELS,DIMPLE SALES PRIVATE LIMITED,15,001J100000Trk4PIAR
North,Delhi,MAHENDRA STEELS,EKTA STEEL,3,0015g00001YQFpdAAH
North,Delhi,MAHENDRA STEELS,Ganesh Trading co palm,3,0015g00001cbYcbAAE
North,Delhi,MAHENDRA STEELS,HARIOM STEEL INFRA PRIVATE LIMITED,2,001J100000VnU7tIAF
North,Delhi,MAHENDRA STEELS,HINDUSTAN STEEL,2,001fw00000A5Xp2AAF
North,Delhi,MAHENDRA STEELS,JAGDAMBA STEEL AND CEMENT STORE,3,001J1000006KaS5IAK
North,Delhi,MAHENDRA STEELS,JAIN AND SONS,2,001fw000006S1grAAC
North,Delhi,MAHENDRA STEELS,K J STEEL,4,0015g00001bcCjOAAU
North,Delhi,MAHENDRA STEELS,KHANDELWAL  STEELS,76,001J100000Vn6xxIAB
North,Delhi,MAHENDRA STEELS,KS TRADERS,3,001J100000VmcOmIAJ
North,Delhi,MAHENDRA STEELS,LAKSHMI SALES CORPORATION,6,0015g00001X33NEAAZ
North,Delhi,MAHENDRA STEELS,MAHER CHAND & GRAND SONS,3,0015g00001YOKoAAAX
North,Delhi,MAHENDRA STEELS,MUKESH STEELS,5,001fw00000JcbGeAAJ
North,Delhi,MAHENDRA STEELS,Nishant Traders,3,0015g00001dHuCpAAK
North,Delhi,MAHENDRA STEELS,P. MADHAV STEEL TRADERS,3,001J100000JrAesIAF
North,Delhi,MAHENDRA STEELS,RAJDHANI SALES CORPORATION,8,0015g00001VAiB8AAL
North,Delhi,MAHENDRA STEELS,RAJINDRA STEELS,6,0015g00001V9yuBAAR
North,Delhi,MAHENDRA STEELS,RAJU STEEL CO,12,001J100000F4OgOIAV
North,Delhi,MAHENDRA STEELS,RAM DHAN ASHOK KUMAR,54,001J1000005aTwPIAU
North,Delhi,MAHENDRA STEELS,RANJEET TIMBER & STEELS,3,0015g00001X5dczAAB
North,Delhi,MAHENDRA STEELS,Ramji Das Manohar Lal,2,0015g00001dIUwsAAG
North,Delhi,MAHENDRA STEELS,SANJAY CEMENT TRADERS,3,001J100000Vnk3hIAB
North,Delhi,MAHENDRA STEELS,SHARMA STEEL CORPORATION,12,0015g00001VAiB7AAL
North,Delhi,MAHENDRA STEELS,SHIVAM STEEL,2,001fw00000Bq0dXAAR
North,Delhi,MAHENDRA STEELS,SHREE GANPATI STEEL,3,0015g00001YQPV4AAP
North,Delhi,MAHENDRA STEELS,SHREE RAJ SHYAMAJI ENTERPRISES,82,0015g00001ZV7hHAAT
North,Delhi,MAHENDRA STEELS,SHREE SHYAM BALAJI STEEL,24,001fw00000BFLXGAA5
North,Delhi,MAHENDRA STEELS,SHREE SHYAM STEEL,4,0015g00001dIBhxAAG
North,Delhi,MAHENDRA STEELS,SHYAM STEEL TRADERS,14,0015g00001Y46taAAB
North,Delhi,MAHENDRA STEELS,SIDDHI VINAYAK STEEL,5,0015g00001XKTtsAAH
North,Haryana,JAI DURGA STEELS,A D STEEL & CONSTRUCTION CO.,12,001fw00000SKUBVAA5
North,Haryana,JAI DURGA STEELS,BABA SHEOT NATH CEMENT STORE,12,0015g00001gv7wFAAQ
North,Haryana,JAI DURGA STEELS,CH STEELS,20,001J100000BPKGwIAP
North,Haryana,JAI DURGA STEELS,CITY BUILDER,105,001J1000007opyJIAQ
North,Haryana,JAI DURGA STEELS,M/S NEETA ENTERPRISE,17,001J100000S1fPBIAZ
North,Haryana,JAI DURGA STEELS,MAHA LAXMI TRADERS,12,001fw000007ogjCAAQ
North,Haryana,JAI DURGA STEELS,PRATEEK TRADERS,16,001J100000JsZI8IAN
North,Haryana,JAI DURGA STEELS,SANDEEP IRON STORE,12,001fw00000Kjw2nAAB
North,Haryana,JAI DURGA STEELS,SHREE BALAJI IRON STORE,99,0015g00001cajQSAAY
North,Haryana,JAI DURGA STEELS,SHRI SHYAM ENTERPRISES,12,001fw00000A56tkAAB
North,Haryana,NIKUNJ UDYOG,AAKASH STEEL (INDIA),3,0015g00001UBHaPAAX
North,Haryana,NIKUNJ UDYOG,AHUJA ENTERPRISES,9,0015g00001V9MHCAA3
North,Haryana,NIKUNJ UDYOG,AKSHAY UDYOG,30,0015g00001UBHaMAAX
North,Haryana,NIKUNJ UDYOG,Aggarwal Building Material store (hodal),1,0015g00001baMuhAAE
North,Haryana,NIKUNJ UDYOG,BANSAL IRON STORE,11,001J1000003n6D1IAI
North,Haryana,NIKUNJ UDYOG,DELHI  STEEL  &  CEMENT,10,0015g00001UBHaFAAX
North,Haryana,NIKUNJ UDYOG,DELHI IRON STORES GGN,41,001fw00000MEeFHAA1
North,Haryana,NIKUNJ UDYOG,DELHI STEEL,40,001J1000003ll8FIAQ
North,Haryana,NIKUNJ UDYOG,GURU TRADERS,14,001J100000Dp4r5IAB
North,Haryana,NIKUNJ UDYOG,HARI DAYA TRADERS,23,0015g00001UBHafAAH
North,Haryana,NIKUNJ UDYOG,JAI BABA MOHAN RAM INFRATECH,3,0015g00001V9MdFAAV
North,Haryana,NIKUNJ UDYOG,KHANDELWAL STEELS,73,001J100000VlZTtIAN
North,Haryana,NIKUNJ UDYOG,KRISHNA STEELS,3,0015g00001VCA6uAAH
North,Haryana,NIKUNJ UDYOG,KUNAL STEEL & BUILDERS,8,001fw00000J8pnCAAR
North,Haryana,NIKUNJ UDYOG,M/S JYOTI STEEL AND CEMENT,30,001fw00000OebXlAAJ
North,Haryana,NIKUNJ UDYOG,MANGLA STEEL,2,0015g00001V9KbtAAF
North,Haryana,NIKUNJ UDYOG,MOHAN STEEL AND CEMENT,19,001fw00000GMPEiAAP
North,Haryana,NIKUNJ UDYOG,MOHIT TRADERS,10,001J100000O6HFoIAN
North,Haryana,NIKUNJ UDYOG,NANDANI STEEL,12,001J100000VlD3kIAF
North,Haryana,NIKUNJ UDYOG,NIKHIL ENTERPRISES,3,001fw00000BuWQMAA3
North,Haryana,NIKUNJ UDYOG,OM BUILDERS,5,0015g00001X2hP1AAJ
North,Haryana,NIKUNJ UDYOG,PAB INFRA SERVICES,2,001fw00000AGZvPAAX
North,Haryana,NIKUNJ UDYOG,PANNA LAL STEEL TRADERS,15,0015g00001UBHjQAAX
North,Haryana,NIKUNJ UDYOG,PRASHANT TRADING COMPANY,15,0015g00001bZ90AAAS
North,Haryana,NIKUNJ UDYOG,PREETI TRADELINK PRIVATE LIMITED,103,001J1000002mNAxIAM
North,Haryana,NIKUNJ UDYOG,PROMPT,20,0015g00001UBHaTAAX
North,Haryana,NIKUNJ UDYOG,SB TRADERS,8,001fw00000G3E6uAAF
North,Haryana,NIKUNJ UDYOG,SHARMA STEELS AND PIPES,12,0015g00001UBHaiAAH
North,Haryana,NIKUNJ UDYOG,SHIV TRADING COMPANY,4,0015g00001X2gvoAAB
North,Haryana,NIKUNJ UDYOG,SHIVAAY BUILDING SOLUTION,5,0015g00001UBHacAAH
North,Haryana,NIKUNJ UDYOG,STEEL BAZAAR,146,0015g00001UBHaVAAX
North,Haryana,NIKUNJ UDYOG,Sangam Buildway India(P)Ltd,10,0015g00001UBJUyAAP
North,Haryana,NIKUNJ UDYOG,VIJAY TRADERS,3,001J100000JrCKBIA3
North,Haryana,NIKUNJ UDYOG,VIVEK TRADERS,11,001fw00000QjloiAAB
North,Haryana,NIKUNJ UDYOG,YADAV TRADERS,30,0015g00001V9MzlAAF
North,Haryana,NIKUNJ UDYOG,Yadav Iron Store,12,0015g00001UBHjbAAH
North,Haryana,PAL CEMENT AND STEEL PVT. LTD.,BANARSI DASS JAI BHAGWAN,12,0015g00001RKokNAAT
North,Haryana,PAL CEMENT AND STEEL PVT. LTD.,CHOUDHARY CEMENT STORE,17,001J100000RyGCMIA3
North,Haryana,PAL CEMENT AND STEEL PVT. LTD.,GANPATI STEELS,44,001J100000RU7ygIAD
North,Haryana,PAL CEMENT AND STEEL PVT. LTD.,HARYANA CEMENT STORE,12,001J100000RT13DIAT
North,Haryana,PAL CEMENT AND STEEL PVT. LTD.,KHATU SHYAM ENTERPRISES,23,001J100000VnnYIIAZ
